名称,市場,33業種区分,17業種区分,売上高(百万円),営業利益(百万円),経常利益(百万円),当期利益(百万円),総資産(百万円),自己資本(百万円),資本金(百万円),有利子負債(百万円),時価総額(百万円),自己資本比率,ROE,ROA,発行済株式数
オーナンバ,東証2部,非鉄金属,鉄鋼・非鉄 ,36896,1213,1072,-363,29951,14727,2323,5695,5651,49.2,-2.38,-1.15,12558251
レック,東証1部,化学,素材・化学 ,36985,3673,3525,2137,37246,24296,5491,7090,56580,65.2,9.11,6.01,19082670
ウエストホールディングス,東証JQS,建設業,建設・資材 ,36997,4968,4787,2687,57658,13358,2020,31729,20072,23.2,20.64,4.99,27235200
サトウ食品工業,東証2部,食料品,食品 ,37085,1247,1335,840,28665,11475,543,10305,18678,40,7.62,2.97,5075500
セントケア・ホールディング,東証1部,サービス業,情報通信・サービスその他 ,37088,1901,1794,1085,20835,8981,1731,2301,18670,43.1,13.88,5.42,8272162
ラック,東証JQS,情報・通信業,情報通信・サービスその他 ,37109,2446,2464,1491,18722,9637,1000,1065,36396,51.5,16.29,8.16,26683120
日本ライフライン,東証1部,卸売業,商社・卸売 ,37181,7685,8010,5350,40427,20750,2115,10103,256793,51.3,29.2,13.97,45209988
三協フロンテア,東証JQS,サービス業,情報通信・サービスその他 ,37194,5216,5208,3087,55537,27121,1545,12351,32840,48.8,11.88,5.69,23356800
弘電社,東証2部,建設業,建設・資材 ,37294,1799,1881,1212,28798,13954,1520,750,6763,48.5,9.02,4.4,17940000
佐藤渡辺,東証JQS,建設業,建設・資材 ,37308,2323,2429,1683,31233,13648,1751,3063,7925,43.7,13.06,5.29,15978500
日本電通,東証2部,建設業,建設・資材 ,37383,944,1032,650,21228,10484,1493,1475,9534,49.4,6.36,3.14,2685600
アパマンショップホールディングス,東証JQS,不動産業,不動産 ,37383,2489,2065,1653,42291,4051,7613,27828,14275,9.6,54.96,3.85,18278060
桑山,東証JQS,その他製品,情報通信・サービスその他 ,37393,1281,1577,585,30265,15635,3013,11165,6189,51.7,3.74,1.9,10331546
明治海運,東証1部,海運業,運輸・物流 ,37404,5865,4551,1159,141413,13914,1800,92684,14472,9.8,8.62,0.8,36000000
ファインシンター,東証2部,金属製品,建設・資材 ,37476,2246,2049,1077,43394,15916,2203,10798,9865,36.7,7.02,2.55,4420000
川崎近海汽船,東証2部,海運業,運輸・物流 ,37491,1412,1355,592,38870,23405,2368,9601,10216,60.2,2.55,1.56,29525000
オーハシテクニカ,東証1部,卸売業,商社・卸売 ,37513,3807,3888,2834,37357,26149,1825,72,24977,70,11.17,7.8,16240040
イリソ電子工業,東証1部,電気機器,電機・精密 ,37547,6661,6750,4875,52363,44453,5640,594,148977,84.9,11.66,9.76,24583698
朝日印刷,東証2部,パルプ・紙,素材・化学 ,37591,2484,2801,1845,50105,25741,1669,7386,29733,51.4,7.3,3.71,11241154
東邦アセチレン,東証1部,化学,素材・化学 ,37613,2143,2246,1335,31015,12549,2261,5073,11837,40.5,11.13,4.52,7004000
ポケットカード,東証1部,その他金融業,金融（除く銀行） ,37619,4094,4093,2239,263423,59950,14374,170441,84321,22.8,3.78,0.87,79323844
幸楽苑ホールディングス,東証1部,小売業,小売 ,37803,147,330,154,23886,7155,2988,7575,29356,30,1.85,0.65,16774841
小倉クラッチ,東証JQS,機械,機械 ,37845,972,881,589,41197,15987,1858,12676,6105,38.8,3.73,1.43,15533232
SPK,東証1部,卸売業,商社・卸売 ,37900,1722,1746,1187,21226,14689,898,1051,15388,69.2,8.34,5.72,5226900
オーデリック,東証JQS,電気機器,電機・精密 ,37951,4837,4899,3485,37238,27648,3105,6,31659,74.2,13.23,9.62,6100000
サンコール,東証1部,金属製品,建設・資材 ,37980,2250,1734,1093,45296,32736,4808,1580,23943,72.3,3.33,2.47,34057923
ダイト,東証1部,医薬品,医薬品 ,37984,3832,3878,2656,45707,25366,4367,8498,36017,55.5,10.95,5.97,12519064
東海運,東証1部,倉庫・運輸関連業,運輸・物流 ,38035,719,761,505,35750,14835,2294,10328,11887,41.5,3.47,1.43,28923000
石光商事,東証JQS,卸売業,商社・卸売 ,38094,507,546,197,19861,7701,623,6478,3320,38.8,2.63,0.98,8000000
テイカ,東証1部,化学,素材・化学 ,38241,5854,5969,4070,53975,39015,9855,1717,52869,72.3,11.12,7.97,51428828
日邦産業,東証JQS,卸売業,商社・卸売 ,38431,286,-167,164,27409,9688,3137,5908,3560,35.3,1.69,0.61,9127338
ハイデイ日高,東証1部,小売業,小売 ,38514,4564,4567,2916,27067,21025,1625,210,99847,77.7,14.61,11.17,28899331
東邦化学工業,東証2部,化学,素材・化学 ,38549,2214,1557,317,46687,10182,1755,19386,9095,21.8,3.16,0.69,21350000
新晃工業,東証1部,機械,機械 ,38578,5502,5669,3964,52989,33344,5822,3058,48138,62.9,12.29,7.38,27212263
片倉コープアグリ,東証1部,化学,素材・化学 ,38657,604,610,508,43061,21527,4214,8288,13769,50,2.38,1.16,50808430
蛇の目ミシン工業,東証1部,機械,機械 ,38855,2477,2137,1607,52052,23099,11372,13331,14934,44.4,7.26,3.11,19521444
ダイイチ,東証JQS,小売業,小売 ,38869,1330,1333,860,17269,9471,1639,1609,7687,54.8,9.45,5.07,5719320
津田駒工業,東証1部,機械,機械 ,38870,728,584,437,36179,12312,12316,6806,13955,34,3.45,1.18,68075552
ユニゾホールディングス,東証1部,不動産業,不動産 ,38906,13128,9823,6249,632364,75302,20516,530583,74125,11.9,9.65,1.14,28520700
アートネイチャー,東証1部,その他製品,情報通信・サービスその他 ,38961,2816,2923,1394,41729,24396,3667,1200,24522,58.5,5.81,3.38,34393200
ニッピ,東証JQS,その他製品,情報通信・サービスその他 ,38976,2356,2176,1894,65282,26678,4404,19710,11917,40.9,7.33,2.92,14445000
ブロードバンドタワー,東証JQS,情報・通信業,情報通信・サービスその他 ,38987,846,767,427,13530,8062,2370,2559,11072,59.6,5.44,2.86,51979500
ソルコム,東証2部,建設業,建設・資材 ,38999,1262,1560,956,35324,25342,2324,58,11410,71.7,3.83,2.76,5911983
モリ工業,東証1部,鉄鋼,鉄鋼・非鉄 ,39042,4125,4276,2222,46591,33079,7360,2250,20873,71,6.92,4.89,8074580
鶴見製作所,東証1部,機械,機械 ,39064,4294,4534,3063,64785,52531,5188,1500,57440,81.1,5.99,4.82,27829486
SRAホールディングス,東証1部,情報・通信業,情報通信・サービスその他 ,39142,4180,4211,2646,34781,19640,1000,1179,44638,56.5,13.77,7.95,15240000
日本管理センター,東証1部,不動産業,不動産 ,39146,2126,2110,1397,9406,3480,465,1547,28538,37,38.85,14.4,19025600
カンダホールディングス,東証2部,陸運業,運輸・物流 ,39171,1620,1712,975,36441,15500,1772,8283,11503,42.5,6.45,2.69,11654360
大阪チタニウムテクノロジーズ,東証1部,非鉄金属,鉄鋼・非鉄 ,39180,2050,1226,579,93265,34497,8739,47200,58880,37,1.69,0.64,36800000
エーアンドエーマテリアル,東証1部,ガラス・土石製品,建設・資材 ,39275,2367,2184,1983,41452,9757,3889,12933,10034,23.5,22.54,4.77,77780000
日本エスリード,東証1部,不動産業,不動産 ,39300,5131,5054,3109,59535,34897,1983,14992,32029,58.6,9.27,5.32,15465600
グルメ杵屋,東証1部,小売業,小売 ,39409,412,434,425,32471,14414,5838,10358,26454,44.4,2.97,1.29,22610359
ダイビル,東証1部,不動産業,不動産 ,39451,10693,9688,6160,351645,149386,12227,149672,133794,42.5,4.22,1.75,116851049
遠藤照明,東証1部,電気機器,電機・精密 ,39637,2500,846,211,53214,18654,5155,25380,20450,35.1,1.08,0.38,14776321
エンチョー,東証JQS,小売業,小売 ,39686,524,331,99,38034,9077,2902,17920,6021,23.9,1.09,0.26,13714995
フクビ化学工業,東証2部,化学,素材・化学 ,39690,1347,1593,1144,46221,28477,2194,246,14399,61.6,4.12,2.51,20688425
エフティグループ,東証JQS,卸売業,商社・卸売 ,39712,4204,4165,2273,23520,12105,1344,4029,33794,51.5,18.85,10.16,36298200
田中精密工業,東証JQS,輸送用機器,自動車・輸送機 ,39752,2217,2111,1003,41274,15970,500,10989,7733,38.7,6.57,2.37,9763600
電気興業,東証1部,電気機器,電機・精密 ,39906,949,953,543,60164,44039,8774,897,40846,73.2,1.24,0.9,70424226
ライク,東証1部,サービス業,情報通信・サービスその他 ,40051,1524,2493,810,24642,6567,1454,8687,37355,26.6,12.27,3.45,20040000
モリト,東証1部,卸売業,商社・卸売 ,40086,1767,1647,1181,40853,29246,3532,2516,31878,71.6,3.91,2.68,30800000
ダイニック,東証1部,繊維製品,素材・化学 ,40088,1199,1370,851,53028,18401,5795,18918,11396,34.7,4.76,1.62,42523735
北興化学工業,東証1部,化学,素材・化学 ,40117,2464,2777,1965,39974,18877,3214,5912,20900,47.2,10.8,4.67,29985531
コメ兵,東証2部,小売業,小売 ,40134,832,815,355,25415,18190,1803,4391,19204,71.6,1.95,1.42,11257000
テーオーホールディングス,東証JQS,卸売業,商社・卸売 ,40187,32,139,-503,30098,3172,1775,16151,7695,10.5,-14.68,-1.71,8926896
エー・アンド・デイ,東証1部,精密機器,電機・精密 ,40199,1133,1105,477,45202,14663,6388,20385,12148,32.4,3.29,1.07,22579700
小津産業,東証1部,卸売業,商社・卸売 ,40235,668,678,479,22676,13771,1322,2790,17883,60.7,3.53,2.15,8435225
岡山県貨物運送,東証2部,陸運業,運輸・物流 ,40250,1585,1722,1224,41678,13584,2420,17613,6468,32.6,9.47,2.98,22000000
UEX,東証JQS,卸売業,商社・卸売 ,40335,793,807,461,31849,10435,1512,5739,8244,32.8,4.7,1.48,12000000
ゼット,東証2部,卸売業,商社・卸売 ,40335,293,364,282,20862,8246,1005,391,3940,39.5,3.45,1.36,20102000
ヨンキュウ,東証JQS,卸売業,商社・卸売 ,40342,1534,1833,1097,31572,23814,2187,4306,16207,75.4,4.73,3.68,11576134
サンフロンティア不動産,東証1部,不動産業,不動産 ,40394,9380,8894,6452,63654,35675,8387,22063,48741,56,19.61,10.96,42755500
サクサホールディングス,東証1部,電気機器,電機・精密 ,40414,1033,1076,494,41629,22600,10836,6003,13302,54.3,2.21,1.17,62449621
シーアールイー,東証1部,不動産業,不動産 ,40475,5188,4956,3581,36968,15803,2088,11582,18266,42.7,26.35,9.62,12711400
タイガースポリマー,東証1部,化学,素材・化学 ,40520,2796,3047,2129,40355,27152,4149,2288,15848,67.3,8.03,5.46,20111598
東洋電機製造,東証1部,電気機器,電機・精密 ,40668,1571,1663,1174,54927,24603,4998,11755,23023,44.8,4.86,2.23,9735000
安田倉庫,東証1部,倉庫・運輸関連業,運輸・物流 ,40686,2576,3099,2084,109156,60951,3602,24777,25260,55.8,3.43,1.92,30360000
横浜魚類,東証JQS,卸売業,商社・卸売 ,40689,39,47,28,5387,2057,829,786,3485,38.2,1.36,0.55,6290000
ダイコク電機,東証1部,機械,機械 ,40714,1048,1374,502,46828,29151,674,3300,24719,62.3,1.72,1.07,14783900
原田工業,東証JQS,電気機器,電機・精密 ,40857,2778,2201,603,33033,13150,2019,11947,18059,39.8,4.55,1.81,21758000
富士紡ホールディングス,東証1部,繊維製品,素材・化学 ,40878,6816,7076,4344,50044,30149,6673,2617,44067,60.2,15.35,9.06,11720000
あじかん,東証2部,食料品,食品 ,40935,1629,1779,1101,19976,11077,1102,2931,8539,55.5,10.38,5.71,7700000
ツガミ,東証1部,機械,機械 ,41050,3083,2848,2630,50127,30620,12345,4183,66088,61.1,8.44,5.37,64919379
日和産業,東証2部,食料品,食品 ,41054,693,805,324,26918,16827,2011,4569,6103,62.5,1.94,1.2,20830825
ロイヤルホテル,東証2部,サービス業,情報通信・サービスその他 ,41125,2303,1818,2725,66901,14125,13229,33420,20646,21.1,21.4,4.06,102716515
東京計器,東証1部,精密機器,電機・精密 ,41394,1121,1252,709,52206,26946,7218,13184,25871,51.6,2.68,1.38,85382196
インテリックス,東証1部,不動産業,不動産 ,41400,1756,1343,891,35710,9497,2209,23862,8146,26.6,9.71,2.63,8825600
RVH,東証2部,電気機器,電機・精密 ,41533,2628,2796,841,69667,10703,1678,1464,9648,15.4,9.2,1.76,16926560
杉本商事,東証1部,卸売業,商社・卸売 ,41597,1950,2466,1648,34228,28265,2597,138,19322,82.6,5.95,4.91,11399237
マルヨシセンター,東証2部,小売業,小売 ,41713,562,424,159,17959,2056,1077,10889,3456,11.4,8.23,0.88,8749990
平和不動産,東証1部,不動産業,不動産 ,41747,9673,8431,4514,293025,97524,21492,157050,78157,33.3,4.69,1.54,40059996
清和中央ホールディングス,東証JQS,卸売業,商社・卸売 ,41785,931,1015,680,28789,12101,735,2675,23571,42,5.76,2.3,3922000
ファースト住建,東証1部,不動産業,不動産 ,41811,4515,4438,2934,42784,26247,1584,9595,28666,61.3,11.72,7.26,16901900
スズデン,東証1部,卸売業,商社・卸売 ,41872,1013,1260,801,28120,15895,1819,3043,20456,56.5,4.94,2.96,15152600
中村屋,東証1部,食料品,食品 ,41901,1436,1589,3852,43157,25735,7469,2423,30299,59.6,16.2,9.24,5976205
トーヨーカネツ,東証1部,機械,機械 ,41932,3080,3441,3746,53228,35481,18580,3552,37842,66.7,10.72,7.16,97030741
井村屋グループ,東証2部,食料品,食品 ,41997,1232,1306,716,26175,11298,2253,3950,26388,43.2,6.48,2.89,12822200
旭ダイヤモンド工業,東証1部,機械,機械 ,42024,2645,2945,2487,70682,56110,4102,490,63052,79.4,4.45,3.51,55700000
旭有機材,東証1部,化学,素材・化学 ,42029,2062,1944,1091,55040,38642,5000,687,29008,70.2,2.85,2.02,99002000
建設技術研究所,東証1部,サービス業,情報通信・サービスその他 ,42033,2378,2433,1447,42644,24694,3025,700,14612,57.9,5.98,3.34,14159086
上村工業,東証2部,化学,素材・化学 ,42081,5671,5720,5293,69703,53229,1336,1275,67862,76.4,10.24,7.69,9878040
北陸ガス,東証2部,電気・ガス業,電力・ガス ,42191,1543,1730,1117,57760,42581,2400,1488,13541,73.7,2.65,1.94,4800000
広島電鉄,東証2部,陸運業,運輸・物流 ,42231,684,760,1301,88980,40648,2335,19999,32455,45.7,3.25,1.46,30445500
ケイヒン,東証1部,倉庫・運輸関連業,運輸・物流 ,42352,996,872,510,42057,15656,5376,16405,10720,37.2,3.35,1.22,65364457
フマキラー,東証2部,化学,素材・化学 ,42362,2277,2407,1387,36131,8963,3698,12245,32057,24.8,15.97,4.09,32980000
ヤマト,東証1部,建設業,建設・資材 ,42426,3075,3229,1858,34696,22731,5000,300,19415,65.5,8.71,5.64,26927652
TOA,東証1部,電気機器,電機・精密 ,42504,2935,3040,1750,54294,40242,5279,1292,41789,74.1,4.38,3.27,34536635
ルック,東証1部,繊維製品,素材・化学 ,42624,826,964,256,28935,19451,6340,1797,13842,67.2,1.3,0.87,38237067
日本ピグメント,東証2部,化学,素材・化学 ,42631,1046,1089,691,27597,11742,1481,6259,6965,42.5,6.08,2.56,15758994
小池酸素工業,東証2部,機械,機械 ,42639,1520,1852,1268,53899,28405,4028,5261,13614,52.7,4.54,2.32,45229332
ASTI,東証2部,電気機器,電機・精密 ,42655,1591,1885,1415,27922,14029,2476,7286,17239,50.2,10.53,5.37,17085034
朝日インテック,東証2部,精密機器,電機・精密 ,42709,10795,10941,7725,63246,44651,4685,8245,374692,70.6,20.09,13.61,64490800
芝浦メカトロニクス,東証1部,電気機器,電機・精密 ,42737,1499,1132,930,53721,16533,6761,11600,18226,30.8,5.77,1.69,51926194
シキボウ,東証1部,繊維製品,素材・化学 ,42852,3148,2739,1664,88306,31854,11336,25696,19377,36.1,5.27,1.88,121108290
ACKグループ,東証JQS,サービス業,情報通信・サービスその他 ,42879,1285,1068,628,27853,7326,503,1589,8197,26.3,8.89,2.4,6080920
黒谷,東証2部,卸売業,商社・卸売 ,42955,-592,-458,-389,14375,6607,1000,6295,10946,46,-5.89,-2.71,7168600
伊勢湾海運,名証2部,倉庫・運輸関連業,運輸・物流 ,42962,1625,1863,1132,43176,29968,2046,2882,17839,69.4,3.81,2.63,27487054
徳倉建設,名証2部,建設業,建設・資材 ,42984,1148,1168,1063,29791,8657,2368,5592,6136,29.1,13.1,3.68,22072850
トラスト・テック,東証1部,サービス業,情報通信・サービスその他 ,43035,3220,3185,1923,16805,6595,1562,3877,60631,39.2,32.28,13.39,19433000
日本空調サービス,東証1部,サービス業,情報通信・サービスその他 ,43143,2394,2482,1497,31944,15045,1139,2872,25586,47.1,10.47,4.74,35784000
日鍛バルブ,東証2部,輸送用機器,自動車・輸送機 ,43175,3483,3618,1413,55835,23897,4530,9496,11678,42.8,6.03,2.54,28978860
サトレストランシステムズ,東証1部,小売業,小売 ,43354,405,416,-234,31443,14174,8532,9424,31416,45.1,-1.64,-0.79,33209080
なとり,東証1部,食料品,食品 ,43364,1993,2017,1343,36432,18497,1975,5820,29568,50.8,7.5,4.01,15032209
日本ロジテム,東証JQS,陸運業,運輸・物流 ,43387,201,137,463,37120,10849,3145,11951,4399,29.2,4.34,1.24,13833109
ネツレン,東証1部,金属製品,建設・資材 ,43396,3003,3589,2834,76230,57537,6418,1656,49045,75.5,4.98,3.71,43790500
アーク,東証1部,その他製品,情報通信・サービスその他 ,43400,1838,1672,1359,42944,28192,2000,3009,36236,65.6,4.79,3.28,338657431
トシン・グループ,東証JQS,卸売業,商社・卸売 ,43407,1949,2736,1752,40505,34080,865,310,37068,84.1,5.18,4.23,11405400
IDEC,東証1部,電気機器,電機・精密 ,43426,3547,3357,2440,83080,33356,10056,34996,80120,40.1,7.47,3.69,34224485
NaITO,東証JQS,卸売業,商社・卸売 ,43473,496,707,331,16300,10219,2291,1312,11561,62.7,3.28,2.05,54789510
柿安本店,東証JQS,食料品,食品 ,43508,2240,2279,1253,17997,13404,1269,212,24171,74.5,9.51,7.02,12446700
東京鐵鋼,東証1部,鉄鋼,鉄鋼・非鉄 ,43552,454,482,362,53692,37493,5839,4177,20370,69.8,0.97,0.7,46826528
大同工業,東証1部,機械,機械 ,43572,2578,3279,1814,58478,21960,2726,17794,15378,37.6,8.8,3.19,47171006
日本バルカー工業,東証1部,化学,素材・化学 ,43640,4065,3929,2348,46651,29272,13957,5085,53749,62.7,8.32,5.22,18688733
ヤマダ・エスバイエルホーム,東証1部,建設業,建設・資材 ,43686,-60,-74,-290,24401,4056,9068,8000,17546,16.6,-6.91,-1.11,204018184
日本電波工業,東証1部,電気機器,電機・精密 ,43791,727,472,611,68830,25234,10649,27939,17603,36.7,2.4,0.89,20757905
リンガーハット,東証1部,小売業,小売 ,43844,3284,3158,1620,33192,19005,9002,6645,66995,57.3,10.74,5.49,26067972
ワタベウェディング,東証1部,サービス業,情報通信・サービスその他 ,43908,1000,674,123,21336,10485,4176,975,7065,49.1,1.18,0.58,9909400
東京インキ,東証2部,化学,素材・化学 ,43949,1181,1465,1015,44674,22027,3246,6998,10630,49.3,4.77,2.28,27257587
